"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2025","jif_quartile","jci_2025","percent_citable_oa"
"VIE ET MILIEU-LIFE AND ENVIRONMENT","0240-8759","","('ECOLOGY', 'MARINE & FRESHWATER BIOLOGY')","('SCIE', 'SCIE')","551","0.8","('Q4', 'Q4')","0.18","45.45"
"Vietnam Journal of Computer Science","2196-8888","2196-8896","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'COMPUTER SCIENCE, INFORMATION SYSTEMS', 'COMPUTER SCIENCE, THEORY & METHODS')","('ESCI', 'ESCI', 'ESCI')","201","0.8","('Q4', 'Q4', 'Q4')","0.18","100.00"
"Accounting History Review","2155-2851","2155-286X","BUSINESS","('ESCI',)","157","0.8","Q4","0.17","6.90"
"Agrociencia Uruguay","","2730-5066","AGRONOMY","('ESCI',)","256","0.8","Q4","0.17","98.70"
"Annali di Botanica","0365-0812","2239-3129","('ENVIRONMENTAL SCIENCES', 'PLANT SCIENCES')","('SCIE', 'SCIE')","179","0.8","('Q4', 'Q4')","0.17","0.00"
"Asia Pacific Journal of Counselling and Psychotherapy","2150-7686","2150-7708","PSYCHOLOGY, CLINICAL","('ESCI',)","105","0.8","Q4","0.17","8.11"
"Asian Journal of Agriculture and Development","1656-4383","1656-4383","AGRONOMY","('ESCI',)","147","0.8","Q4","0.17","0.00"
"Floresta e Ambiente","2179-8087","2179-8087","FORESTRY","('ESCI',)","796","0.8","Q4","0.17","100.00"
"INDIAN JOURNAL OF CANCER","0019-509X","1998-4774","ONCOLOGY","('SCIE',)","1,596","0.8","Q4","0.17","66.56"
"INDIAN JOURNAL OF FIBRE & TEXTILE RESEARCH","0971-0426","0975-1025","MATERIALS SCIENCE, TEXTILES","('SCIE',)","888","0.8","Q4","0.17","98.80"
"Integrative Medicine Reports","","2768-3222","INTEGRATIVE & COMPLEMENTARY MEDICINE","('ESCI',)","50","0.8","Q4","0.17","100.00"
"International Journal of Business Performance Management","1368-4892","1741-5039","MANAGEMENT","('ESCI',)","260","0.8","Q4","0.17","5.41"
"International Journal of Rotating Machinery","1023-621X","1542-3034","ENGINEERING, MECHANICAL","('ESCI',)","656","0.8","Q4","0.17","100.00"
"Journal of Agricultural Sciences","1391-9318","2386-1363","AGRICULTURE, MULTIDISCIPLINARY","('ESCI',)","317","0.8","Q3","0.17","100.00"
"Language and Sociocultural Theory","2051-9699","2051-9702","LINGUISTICS","('ESCI',)","75","0.8","Q3","0.17","0.00"
