"journal_name","issn","e_issn","category","total_citations","impact_factor_2022","jif_quartile","jci_2022","percent_oa_gold"
"PHARMACOLOGICAL REVIEWS","0031-6997","1521-0081","PHARMACOLOGY & PHARMACY - SCIE","13,802","21.1","Q1","2.93","46.46"
"Military Medical Research","2095-7467","2054-9369","MEDICINE, GENERAL & INTERNAL - SCIE","3,109","21.1","Q1","2.20","99.37"
"Protein & Cell","1674-800X","1674-8018","CELL BIOLOGY - SCIE","7,357","21.1","Q1","1.33","94.81"
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI","19,865","21.0","Q1","5.72","17.02"
"Lancet Regional Health-Europe","2666-7762","2666-7762","('HEALTH CARE SCIENCES & SERVICES - ESCI', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI')","3,699","20.9","('N/A', 'N/A')","7.13","93.33"
"Living Reviews in Solar Physics","2367-3648","1614-4961","ASTRONOMY & ASTROPHYSICS - SCIE","1,880","20.9","Q1","2.85","100.00"
"Nature Metabolism","","2522-5812","ENDOCRINOLOGY & METABOLISM - SCIE","7,094","20.8","Q1","4.19","12.07"
"Annual Review of Public Health","0163-7525","1545-2093","('PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI')","11,260","20.8","('Q1', 'Q1')","3.20","68.22"
"National Science Review","2095-5138","2053-714X","MULTIDISCIPLINARY SCIENCES - SCIE","13,369","20.7","Q1","3.18","92.75"
"PROCEEDINGS OF THE IEEE","0018-9219","1558-2256","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","43,276","20.6","Q1","4.48","37.72"
"COORDINATION CHEMISTRY REVIEWS","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","52,507","20.6","Q1","1.78","9.90"
"Carbon Energy","","2637-9368","('CHEMISTRY, PHYSICAL - SCIE', 'ENERGY & FUELS - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","2,922","20.5","('Q1', 'Q1', 'Q1', 'Q1')","1.77","86.60"
"TRENDS IN PLANT SCIENCE","1360-1385","1878-4372","PLANT SCIENCES - SCIE","32,959","20.5","Q1","1.76","32.41"
"Journal of Thoracic Oncology","1556-0864","1556-1380","('ONCOLOGY - SCIE', 'RESPIRATORY SYSTEM - SCIE')","27,703","20.4","('Q1', 'Q1')","3.52","81.59"
"Energy Storage Materials","2405-8297","2405-8289","('CHEMISTRY, PHYSICAL - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","38,979","20.4","('Q1', 'Q1', 'Q1')","2.86","10.57"
"SmartMat","2766-8525","2688-819X","('CHEMISTRY, MULTIDISCIPLINARY - ESCI', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI')","1,206","20.4","('N/A', 'N/A')","2.22","79.44"
"FUNGAL DIVERSITY","1560-2745","1878-9129","MYCOLOGY - SCIE","6,100","20.3","Q1","6.25","33.33"
"BLOOD","0006-4971","1528-0020","HEMATOLOGY - SCIE","180,276","20.3","Q1","3.16","12.62"
"ENDOCRINE REVIEWS","0163-769X","1945-7189","ENDOCRINOLOGY & METABOLISM - SCIE","17,888","20.3","Q1","2.97","43.86"
"CIRCULATION RESEARCH","0009-7330","1524-4571","('CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE', 'HEMATOLOGY - SCIE', 'PERIPHERAL VASCULAR DISEASE - SCIE')","66,672","20.1","('Q1', 'Q1', 'Q1')","3.93","14.88"
"Advanced Composites and Hybrid Materials","2522-0128","2522-0136","('MATERIALS SCIENCE, COMPOSITES - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","7,190","20.1","('Q1', 'Q1')","2.32","2.33"
"TRENDS IN COGNITIVE SCIENCES","1364-6613","1879-307X","('BEHAVIORAL SCIENCES - SCIE', 'NEUROSCIENCES - SCIE', 'PSYCHOLOGY, EXPERIMENTAL - SSCI')","34,074","19.9","('Q1', 'Q1', 'Q1')","2.27","29.17"
"RADIOLOGY","0033-8419","","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","64,735","19.7","Q1","5.34","2.15"
"KIDNEY INTERNATIONAL","0085-2538","1523-1755","UROLOGY & NEPHROLOGY - SCIE","53,220","19.6","Q1","4.64","42.76"
"Nature Physics","1745-2473","1745-2481","PHYSICS, MULTIDISCIPLINARY - SCIE","48,759","19.5","Q1","4.67","10.60"
"INTERNATIONAL JOURNAL OF COMPUTER VISION","0920-5691","1573-1405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","26,940","19.5","Q1","2.93","21.03"
"Light-Science & Applications","2095-5545","2047-7538","OPTICS - SCIE","18,607","19.4","Q1","4.94","99.67"
"Eurosurveillance","1025-496X","1560-7917","INFECTIOUS DISEASES - SCIE","16,362","19.0","Q1","3.50","95.91"
"Qualitative Research in Psychology","1478-0887","1478-0895","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","15,873","19.0","Q1","3.36","8.26"
"ADVANCED FUNCTIONAL MATERIALS","1616-301X","1616-3028","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'CHEMISTRY, PHYSICAL - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE', 'PHYSICS, APPLIED - SCIE', 'PHYSICS, CONDENSED MATTER - SCIE')","219,990","19.0","('Q1', 'Q1', 'Q1', 'Q1', 'Q1', 'Q1')","2.64","10.28"
"TRENDS IN CELL BIOLOGY","0962-8924","1879-3088","CELL BIOLOGY - SCIE","19,549","19.0","Q1","1.58","30.77"
"Bioactive Materials","","2452-199X","('ENGINEERING, BIOMEDICAL - SCIE', 'MATERIALS SCIENCE, BIOMATERIALS - SCIE')","15,010","18.9","('Q1', 'Q1')","3.35","94.37"
"Science Bulletin","2095-9273","2095-9281","MULTIDISCIPLINARY SCIENCES - SCIE","15,986","18.9","Q1","2.79","16.11"
"Matter","2590-2393","2590-2385","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","10,909","18.9","Q1","2.52","65.00"
"Aggregate","","2692-4560","('CHEMISTRY, MULTIDISCIPLINARY - ESCI', 'CHEMISTRY, PHYSICAL - ESCI', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI')","1,916","18.8","('N/A', 'N/A', 'N/A')","1.44","84.69"
"BRITISH JOURNAL OF SPORTS MEDICINE","0306-3674","1473-0480","SPORT SCIENCES - SCIE","34,808","18.6","Q1","4.26","27.17"
"Information Fusion","1566-2535","1872-6305","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'COMPUTER SCIENCE, THEORY & METHODS - SCIE')","16,059","18.6","('Q1', 'Q1')","3.75","11.35"
"PERIODONTOLOGY 2000","0906-6713","1600-0757","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","8,442","18.6","Q1","3.17","22.88"
"Annual Review of Clinical Psychology","1548-5943","1548-5951","('PSYCHOLOGY - SCIE', 'PSYCHOLOGY, CLINICAL - SSCI')","9,221","18.4","('Q1', 'Q1')","6.42","1.59"
"Trends in Cancer","2405-8025","2405-8033","ONCOLOGY - SCIE","7,424","18.4","Q1","2.02","31.94"
"Nature Geoscience","1752-0894","1752-0908","GEOSCIENCES, MULTIDISCIPLINARY - SCIE","37,140","18.3","Q1","4.82","10.27"
"ACCOUNTS OF CHEMICAL RESEARCH","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY - SCIE","81,684","18.3","Q1","1.32","7.14"
"EUROPEAN JOURNAL OF HEART FAILURE","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","22,408","18.2","Q1","3.83","33.93"
"ACS Central Science","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY - SCIE","17,473","18.2","Q1","2.91","68.75"
"Annual Review of Physiology","0066-4278","1545-1585","PHYSIOLOGY - SCIE","11,812","18.2","Q1","2.49","2.70"
"JOURNAL OF THE ACADEMY OF MARKETING SCIENCE","0092-0703","1552-7824","BUSINESS - SSCI","21,516","18.2","Q1","2.27","30.63"
"Journal of Innovation & Knowledge","2530-7614","2444-569X","('BUSINESS - SSCI', 'MANAGEMENT - SSCI')","2,209","18.1","('Q1', 'Q1')","3.33","89.20"
"REPORTS ON PROGRESS IN PHYSICS","0034-4885","1361-6633","PHYSICS, MULTIDISCIPLINARY - SCIE","21,047","18.1","Q1","1.61","0.00"
"Nature Plants","2055-026X","2055-0278","PLANT SCIENCES - SCIE","15,172","18.0","Q1","4.56","12.35"
"Archives of Cardiovascular Diseases Supplements","1878-6480","1878-6502","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","85","18.0","","0.00","0.00"
"PROGRESS IN RETINAL AND EYE RESEARCH","1350-9462","1873-1635","OPHTHALMOLOGY - SCIE","11,451","17.8","Q1","4.32","28.76"
"AMERICAN JOURNAL OF PSYCHIATRY","0002-953X","1535-7228","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI')","41,788","17.7","('Q1', 'Q1')","3.65","0.00"
"Nano Energy","2211-2855","2211-3282","('CHEMISTRY, PHYSICAL - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE', 'PHYSICS, APPLIED - SCIE')","107,176","17.6","('Q1', 'Q1', 'Q1', 'Q1')","2.87","9.94"
"Journal of Magnesium and Alloys","2213-9567","2213-9567","METALLURGY & METALLURGICAL ENGINEERING - SCIE","9,623","17.6","Q1","2.64","92.18"
"IEEE Reviews in Biomedical Engineering","1937-3333","1941-1189","ENGINEERING, BIOMEDICAL - SCIE","2,473","17.6","Q1","2.53","17.74"
"CANADIAN MEDICAL ASSOCIATION JOURNAL","0820-3946","1488-2329","MEDICINE, GENERAL & INTERNAL - SCIE","19,570","17.4","Q1","2.21","97.79"
"Nano Today","1748-0132","1878-044X","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","15,815","17.4","('Q1', 'Q1', 'Q1')","1.94","10.32"
"Advanced Photonics","","2577-5421","OPTICS - SCIE","2,021","17.3","Q1","3.58","99.12"
"Annual Review of Marine Science","1941-1405","1941-0611","('GEOCHEMISTRY & GEOPHYSICS - SCIE', 'MARINE & FRESHWATER BIOLOGY - SCIE', 'OCEANOGRAPHY - SCIE')","6,141","17.3","('Q1', 'Q1', 'Q1')","2.47","6.56"
"TRENDS IN BIOTECHNOLOGY","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","20,777","17.3","Q1","1.79","23.90"
"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","0141-0768","1758-1095","MEDICINE, GENERAL & INTERNAL - SCIE","5,398","17.3","Q1","1.46","40.85"
"Science Translational Medicine","1946-6234","1946-6242","('CELL BIOLOGY - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","52,013","17.1","('Q1', 'Q1')","3.39","6.32"
"ACS Nano","1936-0851","1936-086X","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'CHEMISTRY, PHYSICAL - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","223,018","17.1","('Q1', 'Q1', 'Q1', 'Q1')","2.44","7.87"
"Med","2666-6340","2666-6340","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","1,494","17.0","","4.92","67.50"
"JAMA Surgery","2168-6254","2168-6262","SURGERY - SCIE","16,054","16.9","Q1","5.40","9.97"
"Journal of Advanced Ceramics","2226-4108","2227-8508","MATERIALS SCIENCE, CERAMICS - SCIE","5,306","16.9","Q1","2.83","100.00"
"Nature Ecology & Evolution","2397-334X","2397-334X","('ECOLOGY - SCIE', 'EVOLUTIONARY BIOLOGY - SCIE')","16,845","16.8","('Q1', 'Q1')","3.93","11.18"
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","1545-9993","1545-9985","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'BIOPHYSICS - SCIE', 'CELL BIOLOGY - SCIE')","30,445","16.8","('Q1', 'Q1', 'Q1')","3.06","15.04"
"TRENDS IN ECOLOGY & EVOLUTION","0169-5347","1872-8383","('ECOLOGY - SCIE', 'EVOLUTIONARY BIOLOGY - SCIE', 'GENETICS & HEREDITY - SCIE')","39,957","16.8","('Q1', 'Q1', 'Q1')","1.89","37.84"
"TRENDS IN IMMUNOLOGY","1471-4906","1471-4981","IMMUNOLOGY - SCIE","17,527","16.8","Q1","1.44","27.60"
"ACM COMPUTING SURVEYS","0360-0300","1557-7341","COMPUTER SCIENCE, THEORY & METHODS - SCIE","19,264","16.6","Q1","4.19","0.00"
"Nature Communications","","2041-1723","MULTIDISCIPLINARY SCIENCES - SCIE","675,323","16.6","Q1","3.24","99.66"
"Nature Aging","","2662-8465","('CELL BIOLOGY - ESCI', 'GERIATRICS & GERONTOLOGY - ESCI', 'NEUROSCIENCES - ESCI')","1,592","16.6","('N/A', 'N/A', 'N/A')","2.99","19.53"
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY - SCIE","458,936","16.6","Q1","2.60","18.94"
"Annual Review of Biochemistry","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","22,840","16.6","Q1","2.17","2.15"
"STUDIES IN MYCOLOGY","0166-0616","1872-9797","MYCOLOGY - SCIE","4,519","16.5","Q1","6.78","97.14"
"PhotoniX","","2662-1991","OPTICS - SCIE","831","16.5","Q1","3.07","98.63"
"Chinese Journal of Catalysis","0253-9837","1872-2067","('CHEMISTRY, APPLIED - SCIE', 'CHEMISTRY, PHYSICAL - SCIE', 'ENGINEERING, CHEMICAL - SCIE')","16,335","16.5","('Q1', 'Q1', 'Q1')","2.29","1.95"
"AMERICAN PSYCHOLOGIST","0003-066X","1935-990X","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","37,848","16.4","Q1","5.44","0.00"
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","0733-8716","1558-0008","('ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE', 'TELECOMMUNICATIONS - SCIE')","25,373","16.4","('Q1', 'Q1')","3.54","11.48"
"ACADEMY OF MANAGEMENT REVIEW","0363-7425","1930-3807","('BUSINESS - SSCI', 'MANAGEMENT - SSCI')","44,906","16.4","('Q1', 'Q1')","3.36","0.00"
"Annual Review of Environment and Resources","1543-5938","1545-2050","('ENVIRONMENTAL SCIENCES - SCIE', 'ENVIRONMENTAL STUDIES - SSCI')","6,750","16.4","('Q1', 'Q1')","1.37","77.78"
"DIABETES CARE","0149-5992","1935-5548","ENDOCRINOLOGY & METABOLISM - SCIE","83,788","16.2","Q1","3.69","0.64"
"Neuron","0896-6273","1097-4199","NEUROSCIENCES - SCIE","108,483","16.2","Q1","3.62","74.45"
"Cancer Communications","","2523-3548","ONCOLOGY - SCIE","3,572","16.2","Q1","2.38","62.29"
"One Earth","2590-3330","2590-3322","('ENVIRONMENTAL SCIENCES - SCIE', 'ENVIRONMENTAL STUDIES - SSCI', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE')","3,916","16.2","('Q1', 'Q1', 'Q1')","1.79","83.27"
"Advanced Fiber Materials","2524-7921","2524-793X","('MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'MATERIALS SCIENCE, TEXTILES - SCIE')","1,967","16.1","('Q1', 'Q1')","2.47","5.29"
"Lancet HIV","2352-3018","2352-3018","('IMMUNOLOGY - SCIE', 'INFECTIOUS DISEASES - SCIE')","5,796","16.1","('Q1', 'Q1')","2.39","27.80"
"ADVANCED DRUG DELIVERY REVIEWS","0169-409X","1872-8294","PHARMACOLOGY & PHARMACY - SCIE","46,224","16.1","Q1","2.30","28.19"
"INTERNATIONAL MATERIALS REVIEWS","0950-6608","1743-2804","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","7,993","16.1","Q1","0.94","22.22"
"Molecular Cell","1097-2765","1097-4164","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'CELL BIOLOGY - SCIE')","86,313","16.0","('Q1', 'Q1')","2.80","70.47"
"Journal of Extracellular Vesicles","","2001-3078","CELL BIOLOGY - SCIE","12,477","16.0","Q1","2.16","71.60"
"BIOTECHNOLOGY ADVANCES","0734-9750","1873-1899","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","26,077","16.0","Q1","1.66","25.31"
"JOURNAL OF CLINICAL INVESTIGATION","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","128,432","15.9","Q1","3.68","35.14"
"NEURO-ONCOLOGY","1522-8517","1523-5866","('CLINICAL NEUROLOGY - SCIE', 'ONCOLOGY - SCIE')","22,890","15.9","('Q1', 'Q1')","3.22","27.80"
"TRENDS IN NEUROSCIENCES","0166-2236","1878-108X","NEUROSCIENCES - SCIE","22,491","15.9","Q1","1.99","30.91"
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","1364-0321","1879-0690","('ENERGY & FUELS - SCIE', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE')","168,341","15.9","('Q1', 'Q1')","1.74","20.88"
"TRENDS IN MICROBIOLOGY","0966-842X","1878-4380","('BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE', 'MICROBIOLOGY - SCIE')","18,957","15.9","('Q1', 'Q1')","1.62","29.72"
"Small Structures","","2688-4062","('CHEMISTRY, PHYSICAL - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","3,502","15.9","('Q1', 'Q1', 'Q1')","1.58","23.10"
"Industrial and Organizational Psychology-Perspectives on Science and Practice","1754-9426","1754-9434","PSYCHOLOGY, APPLIED - SSCI","2,010","15.8","Q1","3.82","27.59"
"PLOS MEDICINE","1549-1277","1549-1676","MEDICINE, GENERAL & INTERNAL - SCIE","46,220","15.8","Q1","2.82","98.26"
"Journal of Industrial Information Integration","2467-964X","2452-414X","('COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE', 'ENGINEERING, INDUSTRIAL - SCIE')","2,914","15.7","('Q1', 'Q1')","2.05","15.70"
"Trends in Chemistry","","2589-5974","CHEMISTRY, MULTIDISCIPLINARY - SCIE","4,167","15.7","Q1","1.12","19.16"
"Environmental Chemistry Letters","1610-3653","1610-3661","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'ENGINEERING, ENVIRONMENTAL - SCIE', 'ENVIRONMENTAL SCIENCES - SCIE')","14,047","15.7","('Q1', 'Q1', 'Q1')","1.05","10.17"
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","0001-8686","1873-3727","CHEMISTRY, PHYSICAL - SCIE","22,782","15.6","Q1","1.51","14.49"
"Microbiome","2049-2618","2049-2618","MICROBIOLOGY - SCIE","20,983","15.5","Q1","3.04","100.00"
"International Journal of Surgery","1743-9191","1743-9159","SURGERY - SCIE","18,431","15.3","Q1","5.14","45.75"
"JOURNAL OF EXPERIMENTAL MEDICINE","0022-1007","1540-9538","('IMMUNOLOGY - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","70,263","15.3","('Q1', 'Q1')","3.06","99.14"
"Nature Reviews Urology","1759-4812","1759-4820","UROLOGY & NEPHROLOGY - SCIE","6,599","15.3","Q1","2.67","3.85"
"TRENDS IN FOOD SCIENCE & TECHNOLOGY","0924-2244","1879-3053","FOOD SCIENCE & TECHNOLOGY - SCIE","42,646","15.3","Q1","2.19","13.16"
"npj Digital Medicine","2398-6352","2398-6352","('HEALTH CARE SCIENCES & SERVICES - SCIE', 'MEDICAL INFORMATICS - SCIE')","7,252","15.2","('Q1', 'Q1')","3.50","99.33"
"Molecular Neurodegeneration","","1750-1326","NEUROSCIENCES - SCIE","9,015","15.1","Q1","2.96","100.00"
"EClinicalMedicine","","2589-5370","MEDICINE, GENERAL & INTERNAL - SCIE","12,087","15.1","Q1","2.72","90.35"
"BRAIN BEHAVIOR AND IMMUNITY","0889-1591","1090-2139","('IMMUNOLOGY - SCIE', 'NEUROSCIENCES - SCIE', 'PSYCHIATRY - SCIE')","29,784","15.1","('Q1', 'Q1', 'Q1')","2.54","32.18"
"Advanced Science","","2198-3844","('CHEMISTRY, MULTIDISCIPLINARY - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE', 'NANOSCIENCE & NANOTECHNOLOGY - SCIE')","58,343","15.1","('Q1', 'Q1', 'Q1')","2.11","62.45"
"Chemical Engineering Journal","1385-8947","1873-3212","('ENGINEERING, CHEMICAL - SCIE', 'ENGINEERING, ENVIRONMENTAL - SCIE')","330,617","15.1","('Q1', 'Q1')","1.99","5.78"
"CRITICAL CARE","1364-8535","1466-609X","CRITICAL CARE MEDICINE - SCIE","36,992","15.1","Q1","1.97","99.68"
"Journal of the American Chemical Society","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY - SCIE","580,143","15.0","Q1","2.63","8.25"
"Energy & Environmental Materials","","2575-0356","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","4,483","15.0","Q1","1.61","2.25"
"Applied Physics Reviews","1931-9401","1931-9401","PHYSICS, APPLIED - SCIE","9,714","15.0","Q1","1.44","37.43"
"International Journal of Oral Science","1674-2818","2049-3169","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,155","14.9","Q1","6.03","100.00"
"NUCLEIC ACIDS RESEARCH","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","282,987","14.9","Q1","3.35","91.99"
"IEEE SIGNAL PROCESSING MAGAZINE","1053-5888","1558-0792","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","16,104","14.9","Q1","3.22","13.41"
"Annual Review of Earth and Planetary Sciences","0084-6597","1545-4495","('ASTRONOMY & ASTROPHYSICS - SCIE', 'GEOSCIENCES, MULTIDISCIPLINARY - SCIE')","10,778","14.9","('Q1', 'Q1')","1.69","4.23"
"Nature Protocols","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS - SCIE","54,564","14.8","Q1","3.40","1.34"
"Nature Chemical Biology","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","30,143","14.8","Q1","2.77","7.97"
"COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY","1541-4337","1541-4337","FOOD SCIENCE & TECHNOLOGY - SCIE","17,309","14.8","Q1","1.40","11.90"
"International Journal of Extreme Manufacturing","2631-8644","2631-7990","('ENGINEERING, MANUFACTURING - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE')","1,325","14.7","('Q1', 'Q1')","1.24","100.00"
"Annual Review of Physical Chemistry","0066-426X","1545-1593","CHEMISTRY, PHYSICAL - SCIE","8,507","14.7","Q1","0.76","1.45"
"HARVARD BUSINESS REVIEW","0017-8012","0017-8012","('BUSINESS - SSCI', 'MANAGEMENT - SSCI')","22,326","14.7","('Q1', 'Q1')","0.50","0.00"
"Mycosphere","2077-7000","2077-7019","MYCOLOGY - SCIE","1,893","14.6","Q1","3.78","96.55"
"Accounts of Materials Research","","2643-6728","('CHEMISTRY, MULTIDISCIPLINARY - ESCI', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI')","2,116","14.6","('N/A', 'N/A')","2.58","3.07"
"IEEE Geoscience and Remote Sensing Magazine","2473-2397","2168-6831","('GEOCHEMISTRY & GEOPHYSICS - SCIE', 'IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE', 'REMOTE SENSING - SCIE')","4,128","14.6","('Q1', 'Q1', 'Q1')","2.47","0.89"
"npj Flexible Electronics","","2397-4621","('ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE')","2,034","14.6","('Q1', 'Q1')","2.36","99.40"
"EcoMat","","2567-3173","('CHEMISTRY, PHYSICAL - SCIE', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE', 'MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE')","2,029","14.6","('Q1', 'Q1', 'Q1')","1.30","89.09"
"BRAIN","0006-8950","1460-2156","('CLINICAL NEUROLOGY - SCIE', 'NEUROSCIENCES - SCIE')","65,110","14.5","('Q1', 'Q1')","3.32","45.12"
"Acta Pharmaceutica Sinica B","2211-3835","2211-3843","PHARMACOLOGY & PHARMACY - SCIE","12,975","14.5","Q1","3.30","92.43"
"SEMINARS IN CANCER BIOLOGY","1044-579X","1096-3650","ONCOLOGY - SCIE","17,307","14.5","Q1","2.45","19.13"
"REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY","1569-1705","1572-9826","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE', 'ENVIRONMENTAL SCIENCES - SCIE')","5,188","14.4","('Q1', 'Q1')","1.02","16.81"
"ARTIFICIAL INTELLIGENCE","0004-3702","1872-7921","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,587","14.4","Q1","0.89","36.22"
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","1089-778X","1941-0026","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE', 'COMPUTER SCIENCE, THEORY & METHODS - SCIE')","22,824","14.3","('Q1', 'Q1')","3.30","10.47"
"Cell Reports Medicine","2666-3791","2666-3791","('CELL BIOLOGY - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","4,157","14.3","('Q1', 'Q1')","2.85","90.16"
"Applied Mechanics Reviews","0003-6900","2379-0407","MECHANICS - SCIE","5,243","14.3","Q1","1.00","2.86"
"ACTA NUMERICA","0962-4929","1474-0508","MATHEMATICS - SCIE","2,987","14.2","Q1","11.36","27.78"
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","0091-6749","1097-6825","('ALLERGY - SCIE', 'IMMUNOLOGY - SCIE')","60,069","14.2","('Q1', 'Q1')","2.44","30.88"
"CLINICAL MICROBIOLOGY AND INFECTION","1198-743X","1469-0691","('INFECTIOUS DISEASES - SCIE', 'MICROBIOLOGY - SCIE')","30,210","14.2","('Q1', 'Q1')","2.35","60.76"
"Nature Astronomy","2397-3366","2397-3366","ASTRONOMY & ASTROPHYSICS - SCIE","8,646","14.1","Q1","2.88","5.07"
"Opto-Electronic Advances","2096-4579","2096-4579","OPTICS - SCIE","1,726","14.1","Q1","2.58","99.24"
"Alzheimers & Dementia","1552-5260","1552-5279","CLINICAL NEUROLOGY - SCIE","28,097","14.0","Q1","3.75","39.28"
"JACC-Cardiovascular Imaging","1936-878X","1876-7591","('CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE')","16,914","14.0","('Q1', 'Q1')","3.25","67.87"
"HEPATOLOGY","0270-9139","1527-3350","GASTROENTEROLOGY & HEPATOLOGY - SCIE","76,159","14.0","Q1","3.09","19.94"
